"Date / Time(PST)","PPT INCINCHES","","RAININCHES",""
"06/18/2017",".00","","12.27",""
"06/19/2017",".00","","12.27",""
"06/20/2017",".00","","12.27",""
"06/21/2017",".00","","12.27",""
"06/22/2017",".00","","12.27",""
"06/23/2017",".00","","12.27",""
"06/24/2017",".00","","12.27",""
"06/25/2017",".00","","12.27",""
"06/26/2017",".00","","12.27",""
"06/27/2017",".00","","12.27",""
"06/28/2017",".00","","12.27",""
"06/29/2017",".00","","12.27",""
"06/30/2017",".00","","12.27",""
"07/01/2017",".00","","12.27",""
"07/02/2017",".00","","12.27",""
"07/03/2017",".00","","12.27",""
"07/04/2017",".00","","12.27",""
"07/05/2017",".00","","12.27",""
"07/06/2017",".00","","12.27",""
"07/07/2017",".00","","12.27",""
"07/08/2017",".00","","12.27",""
"07/09/2017",".00","","12.27",""
"07/10/2017",".00","","12.27",""
"07/11/2017",".00","","12.27",""
"07/12/2017",".00","","12.27",""
"07/13/2017",".00","","12.27",""
"07/14/2017",".00","","12.27",""
"07/15/2017",".00","","12.27",""
"07/16/2017",".00","","12.27",""
"07/17/2017",".00","","12.27",""
"07/18/2017",".00","","12.27",""
"07/19/2017",".00","","12.27",""
"07/20/2017",".00","","12.27",""
"07/21/2017",".00","","12.27",""
"07/22/2017",".00","","12.27",""
"07/23/2017",".00","","12.27",""
"07/24/2017",".00","","12.27",""
"07/25/2017",".00","","12.27",""
"07/26/2017",".00","","12.27",""
"07/27/2017",".00","","12.27",""
"07/28/2017",".00","","12.27",""
"07/29/2017",".00","","12.27",""
"07/30/2017",".00","","12.27",""
"07/31/2017",".00","","12.27",""
"08/01/2017",".00","","12.27",""
"08/02/2017",".00","","12.27",""
"08/03/2017",".00","","12.27",""
"08/04/2017",".00","","12.27",""
"08/05/2017",".00","","12.27",""
"08/06/2017",".00","","12.27",""
"08/07/2017",".00","","12.27",""
"08/08/2017",".00","","12.27",""
"08/09/2017",".00","","12.27",""
"08/10/2017",".00","","12.27",""
"08/11/2017",".00","","12.27",""
"08/12/2017",".00","","12.27",""
"08/13/2017",".00","","12.27",""
"08/14/2017",".00","","12.27",""
"08/15/2017",".00","","12.27",""
"08/16/2017",".00","","12.27",""
"08/17/2017",".00","","12.27",""
"08/18/2017",".00","","12.27",""
"08/19/2017",".00","","12.27",""
"08/20/2017",".00","","12.27",""
"08/21/2017",".00","","12.27",""
"08/22/2017",".00","","12.27",""
"08/23/2017",".00","","12.27",""
"08/24/2017",".00","","12.27",""
"08/25/2017",".00","","12.27",""
"08/26/2017",".00","","12.27",""
"08/27/2017",".00","","12.27",""
"08/28/2017",".00","","12.27",""
"08/29/2017",".00","","12.27",""
"08/30/2017",".00","","12.27",""
"08/31/2017",".00","","12.27",""
"09/01/2017",".00","","12.27",""
"09/02/2017",".00","","12.27",""
"09/03/2017",".02","","12.29",""
"09/04/2017",".00","","12.29",""
"09/05/2017",".00","","12.29",""
"09/06/2017",".00","","12.29",""
"09/07/2017",".00","","12.29",""
"09/08/2017",".00","","12.29",""
"09/09/2017",".05","","12.34",""
"09/10/2017",".00","","12.34",""
"09/11/2017",".00","","12.34",""
"09/12/2017",".00","","12.34",""
"09/13/2017",".00","","12.34",""
"09/14/2017",".00","","12.34",""
"09/15/2017",".00","","12.34",""
"09/16/2017",".00","","12.34",""
