# ---------------------------------- WARNING ----------------------------------------,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,
# for any damages resulting from its use.,,,,,
#,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,
#,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,
#,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,
# retrieved: 2018-06-18 22:58:39 EDT       (nadww01),,,,,
#,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,
#    USGS 11023000 SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,,,,,
# -----------------------------------------------------------------------------------,,,,,
#,,,,,
# Data provided for site 11023000,,,,,
#            TS   parameter     Description,,,,,
"#         14023       00060     Discharge, cubic feet per second",,,,,
#,,,,,
# Data-value qualification codes included in this output:,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,
#     P  Provisional data subject to revision.,,,,,
# ,,,,,
agency_cd,site_no,datetime,tz_cd,14023_00060,14023_00060_cd
5s,15s,20d,6s,14n,10s
USGS,11023000,6/18/2017 0:00,PDT,3.4,A
USGS,11023000,6/18/2017 0:15,PDT,3.4,A
USGS,11023000,6/18/2017 0:30,PDT,3.4,A
USGS,11023000,6/18/2017 0:45,PDT,3.4,A
USGS,11023000,6/18/2017 1:00,PDT,3.4,A
USGS,11023000,6/18/2017 1:15,PDT,3.4,A
USGS,11023000,6/18/2017 1:30,PDT,3.4,A
USGS,11023000,6/18/2017 1:45,PDT,3.4,A
USGS,11023000,6/18/2017 2:00,PDT,3.4,A
USGS,11023000,6/18/2017 2:15,PDT,3.4,A
USGS,11023000,6/18/2017 2:30,PDT,3.53,A
USGS,11023000,6/18/2017 2:45,PDT,3.53,A
USGS,11023000,6/18/2017 3:00,PDT,3.4,A
USGS,11023000,6/18/2017 3:15,PDT,3.53,A
USGS,11023000,6/18/2017 3:30,PDT,3.4,A
USGS,11023000,6/18/2017 3:45,PDT,3.39,A
USGS,11023000,6/18/2017 4:00,PDT,3.39,A
USGS,11023000,6/18/2017 4:15,PDT,3.39,A
USGS,11023000,6/18/2017 4:30,PDT,3.39,A
USGS,11023000,6/18/2017 4:45,PDT,3.39,A
USGS,11023000,6/18/2017 5:00,PDT,3.52,A
USGS,11023000,6/18/2017 5:15,PDT,3.39,A
USGS,11023000,6/18/2017 5:30,PDT,3.39,A
USGS,11023000,6/18/2017 5:45,PDT,3.52,A
USGS,11023000,6/18/2017 6:00,PDT,3.52,A
USGS,11023000,6/18/2017 6:15,PDT,3.39,A
USGS,11023000,6/18/2017 6:30,PDT,3.39,A
USGS,11023000,6/18/2017 6:45,PDT,3.52,A
USGS,11023000,6/18/2017 7:00,PDT,3.39,A
USGS,11023000,6/18/2017 7:15,PDT,3.39,A
USGS,11023000,6/18/2017 7:30,PDT,3.39,A
USGS,11023000,6/18/2017 7:45,PDT,3.39,A
USGS,11023000,6/18/2017 8:00,PDT,3.39,A
USGS,11023000,6/18/2017 8:15,PDT,3.39,A
USGS,11023000,6/18/2017 8:30,PDT,3.52,A
USGS,11023000,6/18/2017 8:45,PDT,3.52,A
USGS,11023000,6/18/2017 9:00,PDT,3.52,A
USGS,11023000,6/18/2017 9:15,PDT,3.52,A
USGS,11023000,6/18/2017 9:30,PDT,3.52,A
USGS,11023000,6/18/2017 9:45,PDT,3.52,A
USGS,11023000,6/18/2017 10:00,PDT,3.39,A
USGS,11023000,6/18/2017 10:15,PDT,3.39,A
USGS,11023000,6/18/2017 10:30,PDT,3.52,A
USGS,11023000,6/18/2017 10:45,PDT,3.39,A
USGS,11023000,6/18/2017 11:00,PDT,3.52,A
USGS,11023000,6/18/2017 11:15,PDT,3.39,A
USGS,11023000,6/18/2017 11:30,PDT,3.39,A
USGS,11023000,6/18/2017 11:45,PDT,3.39,A
USGS,11023000,6/18/2017 12:00,PDT,3.52,A
USGS,11023000,6/18/2017 12:15,PDT,3.39,A
USGS,11023000,6/18/2017 12:30,PDT,3.52,A
USGS,11023000,6/18/2017 12:45,PDT,3.39,A
USGS,11023000,6/18/2017 13:00,PDT,3.39,A
USGS,11023000,6/18/2017 13:15,PDT,3.39,A
USGS,11023000,6/18/2017 13:30,PDT,3.39,A
USGS,11023000,6/18/2017 13:45,PDT,3.39,A
USGS,11023000,6/18/2017 14:00,PDT,3.39,A
USGS,11023000,6/18/2017 14:15,PDT,3.52,A
USGS,11023000,6/18/2017 14:30,PDT,3.39,A
USGS,11023000,6/18/2017 14:45,PDT,3.39,A
USGS,11023000,6/18/2017 15:00,PDT,3.39,A
USGS,11023000,6/18/2017 15:15,PDT,3.39,A
USGS,11023000,6/18/2017 15:30,PDT,3.39,A
USGS,11023000,6/18/2017 15:45,PDT,3.39,A
USGS,11023000,6/18/2017 16:00,PDT,3.39,A
USGS,11023000,6/18/2017 16:15,PDT,3.39,A
USGS,11023000,6/18/2017 16:30,PDT,3.39,A
USGS,11023000,6/18/2017 16:45,PDT,3.39,A
USGS,11023000,6/18/2017 17:00,PDT,3.39,A
USGS,11023000,6/18/2017 17:15,PDT,3.39,A
USGS,11023000,6/18/2017 17:30,PDT,3.39,A
USGS,11023000,6/18/2017 17:45,PDT,3.26,A
USGS,11023000,6/18/2017 18:00,PDT,3.26,A
USGS,11023000,6/18/2017 18:15,PDT,3.26,A
USGS,11023000,6/18/2017 18:30,PDT,3.39,A
USGS,11023000,6/18/2017 18:45,PDT,3.38,A
USGS,11023000,6/18/2017 19:00,PDT,3.38,A
USGS,11023000,6/18/2017 19:15,PDT,3.38,A
USGS,11023000,6/18/2017 19:30,PDT,3.38,A
USGS,11023000,6/18/2017 19:45,PDT,3.38,A
USGS,11023000,6/18/2017 20:00,PDT,3.38,A
USGS,11023000,6/18/2017 20:15,PDT,3.38,A
USGS,11023000,6/18/2017 20:30,PDT,3.26,A
USGS,11023000,6/18/2017 20:45,PDT,3.26,A
USGS,11023000,6/18/2017 21:00,PDT,3.26,A
USGS,11023000,6/18/2017 21:15,PDT,3.26,A
USGS,11023000,6/18/2017 21:30,PDT,3.38,A
USGS,11023000,6/18/2017 21:45,PDT,3.38,A
USGS,11023000,6/18/2017 22:00,PDT,3.38,A
USGS,11023000,6/18/2017 22:15,PDT,3.38,A
USGS,11023000,6/18/2017 22:30,PDT,3.38,A
USGS,11023000,6/18/2017 22:45,PDT,3.38,A
USGS,11023000,6/18/2017 23:00,PDT,3.38,A
USGS,11023000,6/18/2017 23:15,PDT,3.38,A
USGS,11023000,6/18/2017 23:30,PDT,3.38,A
USGS,11023000,6/18/2017 23:45,PDT,3.38,A
USGS,11023000,6/19/2017 0:00,PDT,3.38,A
USGS,11023000,6/19/2017 0:15,PDT,3.38,A
USGS,11023000,6/19/2017 0:30,PDT,3.38,A
USGS,11023000,6/19/2017 0:45,PDT,3.38,A
USGS,11023000,6/19/2017 1:00,PDT,3.38,A
